Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
60,78.03425408910617,True,Social protection policy,Infrastructure investment,0.7511736837825108,True,0.049841118678888234,0.12653300317091282,0.023697108596479388,0.02421380360871661,4.404965985926784
61,58.80366983234833,True,Social protection policy,Infrastructure investment,0.7967619769918459,True,0.01890216435396844,0.04912040706871468,0.017037168170174866,0.0,3.918013717276895
62,70.32146943039837,True,Infrastructure investment,Infrastructure investment,0.8531326652289556,True,0.010650357082567178,0.021499040294039984,0.004105612385853719,0.011671597109091422,2.644307838071649
63,102.26848882567684,True,Social protection policy,Infrastructure investment,0.862744464884858,True,0.09212859725256776,0.25397183078091135,0.06159327804899761,0.006884981554078247,3.174414026059813
64,58.766331072713726,True,Infrastructure investment,Infrastructure investment,0.8231485579005132,True,0.02409053425937582,0.025608773246185657,0.03700035770175558,0.021707738959874122,3.1283093430677225
65,77.99251432159146,True,Social protection policy,Infrastructure investment,0.7010596318317422,True,0.021410816160517106,0.031263713634092416,0.023974003925897547,0.01970013900181991,5.968566117925494
66,63.08115261253386,True,Social protection policy,Social protection policy,0.782824302044457,True,0.07216342263875578,0.12768495191524798,0.10749641266572607,0.017390614654671205,3.740312617408295
67,123.67606098224189,True,Social protection policy,Infrastructure investment,0.7982108143960335,True,0.04564968556099543,0.11140249558188164,0.0432117884140551,0.005159615467547299,4.295226946304675
68,85.866299358842,True,Social protection policy,Social protection policy,0.8750587725659134,True,0.04688131330306139,0.1135559422964762,0.03617399366217716,0.014354660602061503,2.217236884364733
69,114.669499974576,True,Social protection policy,Infrastructure investment,0.8902633740778163,True,0.0681707945701641,0.08356715626135547,0.12905240292688225,0.02597822180733668,2.468776627185115
70,98.56384686439216,True,Social protection policy,Infrastructure investment,0.8734963354066537,True,0.05477656703781302,0.12118002449652066,0.059176939791558913,0.01136102034426599,2.8387106652821794
71,72.38889895956639,True,Infrastructure investment,Infrastructure investment,0.8243497197289582,True,0.04434713941264623,0.05863572497317299,0.0852868854604793,0.011292377510609512,2.9937136716669617
72,129.10556327923865,True,Social protection policy,Infrastructure investment,0.8294126408127486,True,0.08530024582811306,0.15849558133325425,0.13024599750966181,0.009809281555479638,4.155965745562005
