Sensitivity block,Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
Policy-impact matrix,68,98.54575427849693,True,Social protection policy,Infrastructure investment,0.818517023164085,True,0.05878623719378844,0.13690342591471039,0.05536190441623989,0.01348649984730925,3.762938326795313
Policy-impact matrix,69,99.75233674821412,True,Social protection policy,Infrastructure investment,0.8246414708418869,True,0.0605195143982637,0.1280427226304217,0.06642450827960189,0.017351069483899362,3.686774488519691
Policy-impact matrix,70,99.4682642635302,True,Social protection policy,Infrastructure investment,0.8236854402218589,True,0.06723676337236353,0.1603376458815901,0.06157728649835659,0.013413739423325688,3.5914673580593837
Policy-impact matrix,71,93.46719417939251,True,Social protection policy,Infrastructure investment,0.8117150891257545,True,0.03851277514339004,0.08070421603665345,0.04484356739398776,0.009246929571223944,3.7293553146164413
Policy-impact matrix,72,97.19997074160781,True,Social protection policy,Infrastructure investment,0.8178481662771292,True,0.05200326238408152,0.11317589282018303,0.05162423034527175,0.017211295178830507,3.6572665789846326
Policy-impact matrix,73,94.33239662107627,True,Social protection policy,Infrastructure investment,0.8103500663699406,True,0.041729506641413776,0.08475761699480777,0.05191382150790136,0.009381834742239081,3.8038623104818767
Policy-impact matrix,74,97.07801634910793,True,Social protection policy,Social protection policy,0.8226849878966652,True,0.04401457485305011,0.07157048305281977,0.06345519192068394,0.019025337012171684,3.6422615678566954
Policy-impact matrix,75,96.03527757776804,True,Social protection policy,Infrastructure investment,0.8164361147537615,True,0.048821813927447076,0.1186238937442724,0.0439532836019475,0.008299171399844874,3.755281583946275
Policy-impact matrix,76,90.62615997607996,True,Social protection policy,Infrastructure investment,0.7988859553100017,True,0.029987782540622586,0.05736070392163806,0.03594137624900717,0.011655158721533818,3.8102109270530207
Policy-impact matrix,77,99.59837502430656,True,Social protection policy,Infrastructure investment,0.8218162139002879,True,0.06202517452735383,0.1347223928229434,0.06491656617349173,0.017449151849303263,3.6954736425835444
Policy-impact matrix,78,95.4041737187973,True,Social protection policy,Infrastructure investment,0.8144077284896162,True,0.04891969601471192,0.10922593322545737,0.05207523166995287,0.009917771156081473,3.6592399880487543
Policy-impact matrix,79,94.9038099524612,True,Social protection policy,Infrastructure investment,0.8178261001786149,True,0.03987700988744662,0.0805426308278625,0.04732992374540679,0.011696980032793874,3.675689980294464
Policy-impact matrix,80,95.79623481049235,True,Social protection policy,Infrastructure investment,0.8169117917069818,True,0.043818320366921744,0.09415200210935504,0.0440042268118761,0.015207892362994968,3.709775777230675
Policy-impact matrix,81,95.52473700429942,True,Social protection policy,Infrastructure investment,0.8158339920397676,True,0.04314952318773761,0.09066012929699996,0.04713429215268605,0.013228909707395625,3.7343186142127647
Policy-impact matrix,82,98.50982679363737,True,Social protection policy,Infrastructure investment,0.8208392448986934,True,0.05463637004595299,0.12263521672277755,0.05239996718063644,0.016192111257421454,3.736052621367951
Policy-impact matrix,83,96.51514060716825,True,Social protection policy,Infrastructure investment,0.8227868238844717,True,0.0454190540660378,0.10023195876500945,0.0489872852094706,0.009747445256652248,3.671552652372311
Policy-impact matrix,84,94.03447586319238,True,Social protection policy,Infrastructure investment,0.8094065233571628,True,0.039600679214349656,0.08449537243583516,0.04298950912736488,0.011117495687023748,3.8014809950970654
