Sensitivity block,Draw,Objective value,Solver converged,Initial top policy,Cumulative top policy,Affordability-oriented cumulative effort share,All seven final shortfalls below initial,Final mean remaining shortfall,Final affordability mean shortfall,Final nutrition mean shortfall,Final environmental mean shortfall,Environmental policy cumulative effort
Policy-impact matrix,47,94.00583892212444,True,Social protection policy,Infrastructure investment,0.8140383384962925,True,0.038481524136194496,0.07601325757020694,0.0496317299762703,0.009040346930203516,3.737835397620252
Policy-impact matrix,48,94.53368610202983,True,Social protection policy,Social protection policy,0.816269428888712,True,0.03620920193665648,0.06293723063655898,0.047229514509650405,0.016565461632088274,3.670666195476634
Policy-impact matrix,49,97.21237937723525,True,Social protection policy,Infrastructure investment,0.8211315275349629,True,0.048956569694822226,0.09376038934207553,0.058145928346941766,0.019441676242860507,3.6232503474790825
Policy-impact matrix,50,98.17914369875905,True,Social protection policy,Social protection policy,0.8246060491456766,True,0.048815021812447665,0.08862648468042811,0.06849106412273565,0.013735027540403073,3.707138771325438
Policy-impact matrix,51,97.3954548367204,True,Social protection policy,Infrastructure investment,0.8186548553845197,True,0.04900983626807709,0.09737052509899813,0.061964345054816294,0.012199556784455376,3.8034958848767397
Policy-impact matrix,52,100.25226672450513,True,Social protection policy,Infrastructure investment,0.8236527200679957,True,0.06909341703204178,0.16414117994371263,0.06487058544307012,0.01281519422536348,3.6537214600875827
Policy-impact matrix,53,99.35738174715453,True,Social protection policy,Infrastructure investment,0.8238211826148601,True,0.06348252993191075,0.15187655082657814,0.060973814128926884,0.009338489806182598,3.662567410977836
Policy-impact matrix,54,100.88354041582363,True,Social protection policy,Infrastructure investment,0.8232000033245067,True,0.06858129566007194,0.16167317063197717,0.06747591510891171,0.010885449069362924,3.7635663251091658
Policy-impact matrix,55,99.88092570894077,True,Social protection policy,Infrastructure investment,0.8267713580051415,True,0.05796924641960494,0.1291452796732252,0.061637926745226945,0.012109156050165173,3.725515159431555
Policy-impact matrix,56,94.36788333124173,True,Social protection policy,Infrastructure investment,0.8086115054946571,True,0.04497994114655363,0.09919516001594597,0.043041755172075535,0.015192878824916212,3.732235659421943
Policy-impact matrix,57,95.88516810383878,True,Social protection policy,Infrastructure investment,0.8160206317424037,True,0.04454306167347101,0.09068272079874751,0.05209835211986924,0.013119642938531809,3.723105816328058
Policy-impact matrix,58,99.68464571432521,True,Social protection policy,Infrastructure investment,0.8255377473489975,True,0.059742317031703664,0.13805496520254856,0.06123035610394112,0.009812788304473144,3.751838675548871
Policy-impact matrix,59,93.56788734496169,True,Social protection policy,Infrastructure investment,0.8062192834776001,True,0.0435805459168629,0.10212976090628978,0.03939395364880094,0.011008196153929437,3.7689869249809274
Policy-impact matrix,60,95.91961124083116,True,Social protection policy,Infrastructure investment,0.8177474556201583,True,0.04589722358060801,0.09980808763280236,0.0480496949532605,0.012782499946065173,3.664690167018441
Policy-impact matrix,61,95.47349695819685,True,Social protection policy,Infrastructure investment,0.8165000293225965,True,0.043403306515606484,0.09265886525489708,0.04989989043049814,0.009352817119227474,3.709165141402101
Policy-impact matrix,62,94.22691002464175,True,Social protection policy,Infrastructure investment,0.8115428639750346,True,0.04177846910942135,0.09284624469105363,0.037899691619943,0.015478705571978113,3.6935131411954347
Policy-impact matrix,63,94.54973335855186,True,Social protection policy,Infrastructure investment,0.8089595420866174,True,0.045159566131998286,0.10280339127436522,0.04340835852250147,0.011846731665127314,3.804728317721434
Policy-impact matrix,64,92.57526954383599,True,Social protection policy,Infrastructure investment,0.8068911934659423,True,0.038711698068756885,0.06870901592736034,0.04678051417137652,0.020001413141912228,3.5944352432042503
Policy-impact matrix,65,94.20817763836719,True,Social protection policy,Social protection policy,0.8136431369793243,True,0.037537571238575894,0.06593204958030319,0.05450998444281874,0.010939465311893715,3.7347727087323928
Policy-impact matrix,66,94.53630912245315,True,Social protection policy,Infrastructure investment,0.8151099845304124,True,0.04172081813432943,0.09062550971840455,0.03847288876432653,0.01692446498742193,3.6034232276348366
Policy-impact matrix,67,97.94136336218206,True,Social protection policy,Infrastructure investment,0.8244335191804976,True,0.048892217708429095,0.09757277335885028,0.05364788213400096,0.019902106486650598,3.629065144097963
