Country,ISO3,Region,First year,Last year,Distinct years observed,Outcomes represented (of 7),Total outcome-year observations,Coverage rate across country-year-outcome cells (%),Cost of healthy diet observations,Cannot afford healthy diet observations,Prevalence of undernourishment observations,"Minimum dietary diversity, women observations",Food system emissions observations,Emissions intensity observations,Social protection coverage observations
Chile,CHL,Latin America & Caribbean,2000,2024,25,7,93,53.1,8,8,23,1,23,23,7
China,CHN,Eastern Asia,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
"China, Hong Kong Special Administrative Region",HKG,Eastern Asia,2002,2024,23,2,31,19.3,8,0,23,0,0,0,0
Colombia,COL,Latin America & Caribbean,2000,2024,25,7,96,54.9,8,8,23,1,23,23,10
Comoros,COM,Sub-Saharan Africa,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
Congo,COG,Sub-Saharan Africa,2000,2024,25,7,87,49.7,8,8,23,1,23,23,1
Costa Rica,CRI,Latin America & Caribbean,2000,2024,25,7,98,56.0,8,8,23,1,23,23,12
Croatia,HRV,Northern America & Europe,2000,2024,25,6,89,50.9,8,8,23,0,23,23,4
Cuba,CUB,Latin America & Caribbean,2000,2022,23,3,52,32.3,0,0,6,0,23,23,0
Curaçao,CUW,Latin America & Caribbean,2017,2024,8,1,8,14.3,8,0,0,0,0,0,0
Cyprus,CYP,Northern Africa & Western Asia,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Czechia,CZE,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Côte d’Ivoire,CIV,Sub-Saharan Africa,2000,2024,25,7,90,51.4,8,8,23,1,23,23,4
Democratic People's Republic of Korea,PRK,Eastern Asia,2000,2022,23,3,64,39.8,0,0,18,0,23,23,0
Democratic Republic of the Congo,COD,Sub-Saharan Africa,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
Denmark,DNK,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
Djibouti,DJI,Sub-Saharan Africa,2000,2024,25,6,87,49.7,8,8,23,0,23,23,2
Dominica,DMA,Latin America & Caribbean,2000,2024,25,5,78,44.6,8,0,23,0,23,23,1
Dominican Republic,DOM,Latin America & Caribbean,2000,2024,25,7,99,56.6,8,8,23,1,23,23,13
Ecuador,ECU,Latin America & Caribbean,2000,2024,25,7,97,55.4,8,8,23,1,23,23,11
Egypt,EGY,Northern Africa & Western Asia,2000,2024,25,7,88,50.3,8,8,23,1,23,23,2
El Salvador,SLV,Latin America & Caribbean,2000,2024,25,4,81,46.3,0,0,23,0,23,23,12
Equatorial Guinea,GNQ,Sub-Saharan Africa,2000,2024,25,3,54,30.9,8,0,0,0,23,23,0
Eritrea,ERI,Sub-Saharan Africa,2000,2022,23,2,46,28.6,0,0,0,0,23,23,0
Estonia,EST,Northern America & Europe,2000,2024,25,5,85,48.6,8,8,23,0,23,23,0
